#Id	Super Class	Ref Name
1	Humanities	Humanities
1.1	Humanities	Human History
1.1.1	Human History	African History
1.1.2	Human History	American History
1.1.3	Human History	Ancient History
1.1.4	Human History	History of Australia|Australian History
1.1.5	Human History	History of Asia|Asian History
1.1.6	Human History	History of Europe|European History
1.1.7	Human History	History of China|Chinese History
1.1.8	Human History	Economic History of the world|Economic History
1.1.9	Human History	Ancient Greece|Greek History
1.1.10	Human History	History of Iran|Iranian History
1.1.11	Human History	History of India|Indian History
1.1.12	Human History	History of Indonesia|Indonesian History
1.1.13	Human History	Intellectual History
1.1.14	Human History	History of Latin America|Latin American History
1.1.15	Human History	Modern History
1.1.16	Human History	History of political thought|Political History
1.1.17	Human History	Pre-Columbian era
1.1.18	Human History	Ancient Rome|Roman History
1.1.19	Human History	History of Russia|Russian History
1.1.20	Human History	History of Science|Scientific History
1.1.21	Human History	History of Technology|Technological History
1.1.22	Human History	World History
1.2	Humanities	Linguistics
1.2.1	Linguistics	Languages
1.2.1.1	Languages	Business English
1.2.1.2	Languages	Classical language
1.2.1.3	Languages	Modern language
1.2.1.4	Languages	Standard English
1.2.1.5	Languages	New Englishes|World Englishes
1.2.2	Linguistics	Applied Linguistics
1.2.3	Linguistics	Computational linguistics
1.2.4	Linguistics	Discourse analysis
1.2.5	Linguistics	Etymology
1.2.6	Linguistics	Historical linguistics
1.2.7	Linguistics	History of linguistics
1.2.8	Linguistics	Interlinguistics
1.2.9	Linguistics	Morphology (linguistics)|Morphology
1.2.10	Linguistics	Philology
1.2.11	Linguistics	Phonetics
1.2.12	Linguistics	Phonology
1.2.13	Linguistics	Pragmatics
1.2.14	Linguistics	Semantics
1.2.15	Linguistics	Semiotics
1.2.16	Linguistics	Sociolinguistics
1.2.17	Linguistics	Syntax
1.2.18	Linguistics	Composition studies
1.2.19	Linguistics	Rhetoric#Modern rhetoric|Rhetoric
1.3	Humanities	Literature
1.3.1	Literature	Poetry
1.3.2	Literature	Comparative literature
1.3.3	Literature	English literature
1.3.4	Literature	World literature
1.3.5	Literature	Historical
1.3.6	Literature	Literary theory
1.3.7	Literature	Creative writing
1.4	Humanities	Arts
1.4.1	Arts	Arts administration
1.4.2	Arts	Music
1.4.3	Arts	Dance
1.4.4	Arts	Theater
1.4.5	Arts	Film studies|Film
1.4.6	Arts	Oral literature
1.4.7	Arts	Animation
1.4.8	Arts	Architecture
1.4.9	Arts	Design
1.4.10	Arts	Drawing
1.4.11	Arts	Painting
1.4.12	Arts	Filmmaking
1.4.13	Arts	Photography
1.4.14	Arts	Sculpture
1.4.15	Arts	Industrial design
1.4.16	Arts	Graphic design
1.4.17	Arts	Fashion Design|Fashion design
1.4.18	Arts	Interior design
1.4.19	Arts	Decorative arts
1.4.20	Arts	Culinary art
1.4.21	Arts	Fine arts
1.4.22	Arts	Mixed Media
1.4.23	Arts	Creative arts
1.4.24	Arts	Art History
1.4.25	Arts	Calligraphy
1.4.26	Arts	Printmaking
1.4.27	Arts	Studio art
1.5	Humanities	Philosophy
1.5.1	Philosophy	Meta-philosophy
1.5.2	Philosophy	Metaphysics
1.5.3	Philosophy	Epistemology
1.5.4	Philosophy	Ethics
1.5.5	Philosophy	Aesthetics
1.5.6	Philosophy	Social philosophy
1.5.7	Philosophy	Philosophical movement|Philosophical traditions and schools
1.5.7.1	Philosophical movement|Philosophical traditions and schools	African philosophy
1.5.8	Philosophy	History of philosophy
